courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 131,2,2006-2007,X,1L,2010-93115
CMSC 161,1,2007-2008,U,5L,2019-93031
CMSC 124,2,2009-2010,V,6L,2011-74047
CMSC 128,2,2010-2011,V,5L,2018-11808
CMSC 128,2,2013-2014,V,4L,2013-14063
CMSC 198,1,2011-2012,Z,3L,2019-55580
CMSC 150,2,2008-2009,W,1L,2010-63856
CMSC 190-1,1,2015-2016,U,5L,2017-33990
CMSC 11,2,2013-2014,V,3L,2010-48564
CMSC 165,2,2009-2010,W,5L,2015-71793
CMSC 190-2,1,2012-2013,X,1L,2016-09896
CMSC 123,2,2015-2016,Y,6L,2015-12666
CMSC 130,2,2013-2014,X,5L,2015-66785
CMSC 198,2,2006-2007,U,5L,2011-61153
CMSC 125,1,2014-2015,Y,5L,2013-83510
CMSC 123,1,2007-2008,Z,1L,2017-14666
CMSC 190-2,2,2008-2009,X,5L,2012-05496
CMSC 123,1,2011-2012,W,3L,2010-65609
CMSC 21,1,2006-2007,W,4L,2016-85608
CMSC 132,1,2013-2014,Y,2L,2011-13075
CMSC 161,1,2015-2016,U,5L,2018-23826
CMSC 128,2,2015-2016,V,3L,2014-65769
CMSC 124,1,2007-2008,V,3L,2012-07043
CMSC 190-2,2,2014-2015,Y,3L,2013-14786
CMSC 123,2,2007-2008,W,5L,2012-30963
CMSC 131,1,2008-2009,Z,4L,2013-07798
CMSC 191,1,2008-2009,V,6L,2010-05510
CMSC 170,2,2015-2016,X,1L,2015-37697
CMSC 191,2,2015-2016,W,1L,2019-06956
CMSC 130,2,2011-2012,U,4L,2013-72545
CMSC 128,2,2009-2010,W,3L,2018-11307
CMSC 22,2,2009-2010,V,4L,2019-81283
CMSC 150,1,2013-2014,V,4L,2010-34500
CMSC 123,1,2007-2008,U,3L,2012-51051
CMSC 123,1,2014-2015,W,4L,2013-79031
CMSC 11,1,2008-2009,X,1L,2015-15105
CMSC 190-1,1,2009-2010,U,2L,2016-56173
CMSC 170,1,2006-2007,Z,5L,2010-60362
CMSC 123,2,2015-2016,U,4L,2012-31351
CMSC 21,2,2015-2016,V,4L,2019-56646
CMSC 124,1,2011-2012,X,1L,2016-68412
CMSC 161,1,2013-2014,X,3L,2015-75309
CMSC 161,1,2006-2007,V,5L,2014-78597
CMSC 150,2,2006-2007,U,3L,2018-16758
CMSC 190-2,2,2014-2015,W,2L,2015-77582
CMSC 132,2,2013-2014,W,6L,2016-32272
CMSC 190-1,1,2009-2010,Z,5L,2015-30964
CMSC 2,2,2014-2015,Y,4L,2013-24317
CMSC 191,2,2008-2009,X,6L,2014-92443
CMSC 190-1,2,2009-2010,V,5L,2015-62865
CMSC 191,1,2007-2008,V,3L,2013-65499
CMSC 11,1,2006-2007,V,4L,2014-81785
CMSC 22,2,2015-2016,Z,4L,2018-61971
CMSC 131,1,2015-2016,V,2L,2019-83235
CMSC 125,2,2008-2009,Y,5L,2015-39936
CMSC 150,2,2013-2014,Z,4L,2018-43933
CMSC 11,1,2012-2013,X,1L,2015-90989
CMSC 170,1,2015-2016,V,6L,2019-24827
CMSC 124,2,2012-2013,W,5L,2014-88581
CMSC 2,2,2014-2015,V,5L,2018-10992
CMSC 190-2,2,2008-2009,Z,5L,2010-38517
CMSC 170,1,2014-2015,Z,1L,2010-46150
CMSC 2,2,2011-2012,X,1L,2012-77876
CMSC 161,2,2011-2012,W,6L,2018-82882
CMSC 150,1,2007-2008,X,2L,2011-80935
CMSC 22,1,2012-2013,X,2L,2016-81980
CMSC 131,1,2012-2013,Z,5L,2012-00846
CMSC 191,2,2012-2013,X,3L,2015-16599
CMSC 130,1,2011-2012,U,6L,2015-14731
CMSC 21,2,2007-2008,V,4L,2014-15288
CMSC 131,2,2010-2011,U,2L,2017-47045
CMSC 165,1,2006-2007,U,4L,2013-80959
CMSC 2,1,2015-2016,X,6L,2012-95635
CMSC 150,2,2007-2008,U,1L,2017-57966
CMSC 128,2,2014-2015,U,5L,2017-84288
CMSC 150,1,2006-2007,Y,6L,2012-16337
CMSC 130,1,2010-2011,Y,1L,2014-39363
CMSC 131,2,2009-2010,X,5L,2013-12863
CMSC 165,1,2015-2016,V,1L,2019-07255
CMSC 131,1,2014-2015,U,1L,2015-72751
CMSC 123,2,2009-2010,U,5L,2017-76371
CMSC 161,1,2010-2011,U,3L,2013-17010
CMSC 130,2,2009-2010,U,1L,2012-73971
CMSC 191,2,2015-2016,W,3L,2016-42012
CMSC 125,1,2008-2009,U,5L,2013-24035
CMSC 125,2,2013-2014,Y,4L,2010-83046
CMSC 150,2,2010-2011,Z,6L,2019-70680
CMSC 130,1,2012-2013,Z,5L,2014-11429
CMSC 128,1,2007-2008,W,6L,2010-50024
CMSC 161,1,2015-2016,W,1L,2014-09042
CMSC 198,1,2015-2016,U,2L,2013-89777
CMSC 11,1,2011-2012,Y,1L,2013-13956
CMSC 125,1,2015-2016,U,5L,2010-56992
CMSC 170,2,2015-2016,X,4L,2013-98409
CMSC 125,1,2012-2013,V,3L,2017-31573
CMSC 190-2,2,2014-2015,U,2L,2018-93465
CMSC 2,1,2012-2013,U,5L,2012-50080
CMSC 150,2,2014-2015,Y,6L,2016-65586
CMSC 124,2,2015-2016,X,6L,2012-63344
CMSC 21,2,2015-2016,X,2L,2011-46390
CMSC 190-1,2,2012-2013,Z,4L,2017-71191
CMSC 131,1,2008-2009,X,1L,2017-50324
CMSC 132,1,2010-2011,W,5L,2013-10292
CMSC 130,1,2012-2013,W,5L,2018-85380
CMSC 170,2,2011-2012,V,1L,2012-72360
CMSC 125,2,2008-2009,U,4L,2014-23225
CMSC 132,2,2011-2012,U,3L,2015-46658
CMSC 128,1,2011-2012,U,3L,2016-73481
CMSC 11,1,2015-2016,W,3L,2014-94163
CMSC 198,1,2008-2009,W,5L,2019-22597
CMSC 161,1,2015-2016,Z,1L,2012-64124
CMSC 161,2,2011-2012,V,3L,2014-18809
CMSC 130,1,2014-2015,Z,1L,2014-99792
CMSC 123,1,2012-2013,V,1L,2018-91363
CMSC 21,1,2013-2014,Z,1L,2017-80129
CMSC 198,2,2006-2007,V,1L,2017-07940
CMSC 11,2,2006-2007,Z,3L,2015-47381
CMSC 190-1,2,2007-2008,U,3L,2013-70167
CMSC 11,2,2014-2015,Z,5L,2016-20193
CMSC 2,2,2010-2011,W,4L,2017-63648
CMSC 125,2,2015-2016,U,6L,2019-09579
CMSC 2,2,2009-2010,X,6L,2015-62762
﻿courseno,semester,acadyear,lectsection,labsection,studentno
CMSC 165,1,2006-2007,X,4L,2010-66808
CMSC 125,1,2009-2010,V,5L,2016-00026
CMSC 191,1,2010-2011,Y,5L,2015-07320
CMSC 131,2,2014-2015,X,3L,2015-25868
CMSC 125,2,2015-2016,W,1L,2013-31452
CMSC 125,2,2013-2014,X,1L,2010-80631
CMSC 128,1,2007-2008,U,3L,2014-88008
CMSC 131,2,2013-2014,Y,6L,2011-02231
CMSC 165,1,2008-2009,Z,3L,2014-98664
CMSC 125,2,2012-2013,W,2L,2012-23365
CMSC 130,1,2010-2011,Z,4L,2015-75453
CMSC 161,1,2011-2012,Z,4L,2013-90455
CMSC 21,1,2007-2008,Z,3L,2016-44710
CMSC 22,1,2014-2015,U,1L,2010-99387
CMSC 191,1,2011-2012,X,5L,2011-39084
CMSC 22,2,2009-2010,V,5L,2015-50107
CMSC 2,1,2009-2010,U,1L,2013-83384
CMSC 191,2,2008-2009,Z,3L,2018-46968
CMSC 132,1,2011-2012,W,6L,2012-53611
CMSC 21,1,2011-2012,Y,4L,2011-28757
CMSC 22,2,2008-2009,V,6L,2010-49626
CMSC 128,2,2015-2016,Y,3L,2011-09801
CMSC 124,1,2014-2015,U,3L,2012-98881
CMSC 170,2,2008-2009,Y,5L,2016-64957
CMSC 198,1,2007-2008,Y,5L,2011-18234
CMSC 128,1,2010-2011,U,4L,2013-84827
CMSC 22,2,2012-2013,Z,5L,2013-10470
CMSC 131,2,2008-2009,U,2L,2011-06237
CMSC 21,2,2009-2010,Y,1L,2017-04817
CMSC 198,1,2011-2012,Y,2L,2010-73179
CMSC 191,2,2006-2007,X,1L,2014-95335
CMSC 198,1,2006-2007,U,2L,2018-53667
CMSC 21,2,2009-2010,Y,1L,2010-30883
CMSC 191,2,2008-2009,Z,5L,2011-26984
CMSC 191,1,2012-2013,Z,2L,2018-61322
CMSC 150,1,2012-2013,W,2L,2014-61290
CMSC 161,2,2015-2016,V,1L,2013-11197
CMSC 132,2,2013-2014,W,4L,2018-86210
CMSC 170,1,2009-2010,W,2L,2011-96810
CMSC 198,1,2006-2007,V,6L,2019-92247
CMSC 123,1,2010-2011,V,2L,2019-66128
CMSC 150,2,2012-2013,Y,2L,2018-38997
CMSC 22,1,2015-2016,U,5L,2014-65235
CMSC 2,1,2006-2007,Y,5L,2010-69677
CMSC 11,2,2006-2007,Y,2L,2011-08333
CMSC 198,2,2015-2016,V,2L,2013-88042
CMSC 124,1,2012-2013,W,5L,2011-53155
CMSC 191,2,2014-2015,X,5L,2016-13530
CMSC 150,1,2007-2008,U,3L,2015-46101
CMSC 198,1,2015-2016,W,2L,2014-72601
CMSC 128,2,2014-2015,Z,4L,2017-32247
CMSC 22,1,2009-2010,V,4L,2017-94557
CMSC 132,1,2008-2009,U,6L,2016-94000
CMSC 124,2,2010-2011,Z,4L,2011-41057
CMSC 150,1,2010-2011,V,6L,2015-02023
CMSC 170,2,2013-2014,Z,3L,2017-43709
CMSC 21,2,2014-2015,Y,2L,2010-54835
CMSC 11,1,2014-2015,U,6L,2014-56534
CMSC 2,1,2006-2007,V,1L,2013-65327
CMSC 161,1,2009-2010,U,5L,2014-32136
CMSC 191,1,2006-2007,Z,2L,2014-32051
CMSC 132,2,2013-2014,W,3L,2019-51972
CMSC 198,1,2006-2007,Y,3L,2010-36382
CMSC 11,1,2010-2011,V,1L,2010-26285
CMSC 2,1,2007-2008,W,4L,2012-34292
CMSC 161,1,2012-2013,V,5L,2010-60396
CMSC 22,1,2015-2016,Z,3L,2016-34165
CMSC 190-1,1,2006-2007,Y,4L,2019-84988
CMSC 128,2,2013-2014,Z,2L,2010-32934
CMSC 123,2,2010-2011,Z,4L,2015-89575
CMSC 131,2,2011-2012,V,2L,2019-54689
CMSC 132,1,2013-2014,X,5L,2018-36776
CMSC 130,1,2013-2014,V,3L,2012-59254
CMSC 191,2,2006-2007,V,4L,2010-74859
CMSC 161,2,2012-2013,W,6L,2018-59166
CMSC 130,2,2008-2009,U,5L,2011-15864
CMSC 191,2,2007-2008,W,1L,2017-41684
CMSC 125,2,2006-2007,V,5L,2014-80390
CMSC 21,1,2009-2010,U,6L,2018-46152
CMSC 128,1,2009-2010,W,2L,2015-87387
CMSC 131,1,2010-2011,Y,6L,2019-19585
CMSC 191,1,2007-2008,X,1L,2013-77075
CMSC 124,2,2013-2014,X,6L,2012-44804
CMSC 131,2,2012-2013,Y,2L,2012-99627
CMSC 130,1,2014-2015,Z,4L,2013-55331
CMSC 190-1,2,2006-2007,Z,6L,2014-04215
CMSC 22,1,2011-2012,Y,3L,2014-22004
CMSC 22,2,2011-2012,V,1L,2012-35824
CMSC 170,2,2010-2011,U,3L,2016-07020
CMSC 21,2,2009-2010,U,5L,2011-29383
CMSC 190-2,2,2007-2008,Z,4L,2017-65316
CMSC 161,1,2008-2009,U,4L,2013-71504
CMSC 123,2,2010-2011,Y,4L,2014-99403
CMSC 191,1,2009-2010,Y,6L,2014-14299
CMSC 132,2,2014-2015,Z,6L,2010-52222
CMSC 21,2,2010-2011,V,2L,2019-57620
CMSC 123,2,2010-2011,V,6L,2019-30443
CMSC 21,1,2006-2007,X,1L,2013-95759
CMSC 123,1,2011-2012,W,3L,2012-25930
CMSC 2,1,2012-2013,Y,2L,2010-87666
CMSC 190-1,2,2013-2014,Y,3L,2012-63387
CMSC 191,2,2007-2008,U,2L,2014-48266
CMSC 191,1,2015-2016,V,3L,2018-68657
CMSC 150,1,2015-2016,V,5L,2016-50795
CMSC 198,2,2009-2010,Y,6L,2016-64555
CMSC 22,2,2011-2012,U,2L,2013-29147
CMSC 190-1,2,2010-2011,U,1L,2018-85349
CMSC 190-2,1,2007-2008,Y,5L,2017-62239
CMSC 150,2,2010-2011,V,4L,2011-25744
CMSC 190-2,1,2009-2010,Y,2L,2016-03340
CMSC 124,1,2009-2010,W,3L,2015-19943
CMSC 132,2,2012-2013,U,1L,2018-06528
CMSC 131,2,2014-2015,Y,2L,2018-48317
CMSC 132,2,2014-2015,Y,1L,2019-25403
CMSC 150,2,2012-2013,Z,3L,2018-11245
CMSC 165,2,2014-2015,U,5L,2016-20292
CMSC 132,1,2015-2016,U,2L,2014-73218
CMSC 125,2,2014-2015,U,3L,2018-48926
CMSC 131,2,2013-2014,X,2L,2010-71035
CMSC 125,2,2010-2011,U,6L,2010-83166
CMSC 124,1,2015-2016,Z,2L,2014-21801
CMSC 165,2,2007-2008,Z,1L,2013-50883
CMSC 190-1,1,2007-2008,V,6L,2012-13140
CMSC 125,1,2014-2015,X,2L,2012-81574
CMSC 132,1,2011-2012,X,6L,2014-12071
CMSC 132,2,2009-2010,Y,2L,2018-71186
CMSC 198,1,2010-2011,U,6L,2012-91756
CMSC 165,2,2010-2011,X,1L,2018-33097
CMSC 132,1,2010-2011,Z,6L,2011-07787
CMSC 22,1,2011-2012,V,4L,2011-26629
CMSC 21,2,2015-2016,Z,4L,2013-92663
CMSC 198,1,2007-2008,X,1L,2015-28199
CMSC 150,2,2006-2007,Y,5L,2019-25642
CMSC 191,1,2007-2008,U,5L,2014-49277
CMSC 11,2,2010-2011,W,1L,2012-96627
CMSC 124,1,2006-2007,U,6L,2016-28822
CMSC 165,1,2009-2010,U,3L,2010-92218
CMSC 131,1,2014-2015,Y,6L,2012-53890
CMSC 190-1,2,2012-2013,V,3L,2015-60495
CMSC 124,2,2015-2016,Z,3L,2010-36315
CMSC 124,1,2010-2011,Y,5L,2013-32972
CMSC 132,1,2012-2013,Z,4L,2015-78788
CMSC 190-1,1,2012-2013,Z,5L,2013-72006
CMSC 124,1,2011-2012,X,1L,2015-46050
CMSC 125,2,2014-2015,Y,4L,2016-54679
CMSC 125,2,2010-2011,Y,6L,2017-17998
CMSC 131,1,2015-2016,Z,4L,2010-44459
CMSC 198,1,2008-2009,U,3L,2018-19757
CMSC 191,2,2011-2012,X,5L,2011-72873
CMSC 123,1,2012-2013,Y,5L,2011-04790
CMSC 123,2,2006-2007,W,4L,2018-78860
CMSC 165,2,2007-2008,Y,5L,2015-32326
CMSC 132,1,2013-2014,X,2L,2017-40343
CMSC 190-1,2,2013-2014,Z,4L,2011-41189
CMSC 130,2,2015-2016,Z,5L,2013-94395
CMSC 2,2,2006-2007,Z,4L,2015-41899
CMSC 190-1,1,2009-2010,W,4L,2016-77493
CMSC 128,2,2007-2008,V,2L,2017-04719
CMSC 11,2,2009-2010,V,4L,2018-27736
CMSC 22,2,2008-2009,X,6L,2019-23803
CMSC 198,1,2007-2008,W,2L,2019-21898
CMSC 125,1,2014-2015,V,6L,2018-55300
CMSC 124,1,2011-2012,U,5L,2019-70865
CMSC 124,1,2011-2012,Y,3L,2015-61387
CMSC 22,2,2015-2016,W,1L,2010-83414
CMSC 21,2,2007-2008,V,2L,2011-84392
CMSC 128,2,2008-2009,X,2L,2016-07723
CMSC 198,2,2012-2013,X,4L,2013-61395
CMSC 128,1,2011-2012,Y,4L,2019-67881
CMSC 132,2,2006-2007,X,3L,2012-00165
CMSC 131,2,2008-2009,X,2L,2018-51935
CMSC 150,2,2008-2009,V,6L,2018-63458
CMSC 11,2,2008-2009,X,2L,2015-94688
CMSC 128,2,2012-2013,Z,3L,2013-52943
CMSC 131,1,2015-2016,X,5L,2012-57379
CMSC 2,2,2007-2008,Y,5L,2015-48907
CMSC 165,2,2013-2014,Z,5L,2010-54628
CMSC 165,1,2015-2016,Z,2L,2015-24810
CMSC 191,1,2006-2007,Y,1L,2013-05165
CMSC 190-2,1,2010-2011,X,1L,2010-35357
CMSC 170,1,2006-2007,W,1L,2016-81032
CMSC 198,1,2009-2010,V,1L,2011-77697
CMSC 130,2,2011-2012,W,3L,2017-92028
CMSC 165,2,2013-2014,W,2L,2012-97255
CMSC 131,1,2009-2010,Z,2L,2018-94281
CMSC 190-2,1,2012-2013,V,6L,2012-81808
CMSC 128,2,2009-2010,Z,6L,2013-55462
CMSC 125,1,2014-2015,X,5L,2018-30125
CMSC 123,2,2008-2009,W,4L,2019-10687
CMSC 165,1,2011-2012,Z,5L,2012-07918
CMSC 125,2,2015-2016,X,6L,2010-00281
CMSC 2,2,2011-2012,V,6L,2012-53060
CMSC 130,2,2009-2010,X,6L,2018-44135
CMSC 21,1,2009-2010,X,6L,2015-15825
CMSC 191,1,2014-2015,X,6L,2017-69579
CMSC 150,1,2013-2014,Y,2L,2014-41596
CMSC 190-2,1,2007-2008,Y,4L,2017-42236
CMSC 22,1,2015-2016,U,2L,2015-47344
CMSC 190-1,1,2012-2013,W,3L,2014-78643
CMSC 170,1,2006-2007,X,5L,2011-07878
CMSC 123,2,2010-2011,Z,1L,2010-96834
CMSC 198,1,2008-2009,X,3L,2019-37481
CMSC 191,1,2015-2016,W,5L,2015-69844
CMSC 190-1,2,2007-2008,W,5L,2019-90320
CMSC 124,1,2012-2013,U,6L,2013-05396
CMSC 190-2,1,2012-2013,Y,1L,2016-16569
CMSC 125,1,2014-2015,X,3L,2010-41027
CMSC 11,1,2006-2007,X,6L,2013-16314
CMSC 125,2,2006-2007,Z,1L,2016-74949
CMSC 11,1,2015-2016,V,4L,2014-73016
CMSC 131,2,2009-2010,U,5L,2011-21254
CMSC 124,1,2013-2014,X,1L,2010-22130
CMSC 125,1,2013-2014,Z,2L,2011-97806
CMSC 130,2,2007-2008,U,6L,2011-55596
CMSC 170,2,2012-2013,X,2L,2012-27594
CMSC 161,1,2010-2011,V,6L,2017-73219
CMSC 124,1,2008-2009,V,2L,2017-70130
CMSC 124,1,2011-2012,U,1L,2019-47733
CMSC 161,2,2012-2013,Y,3L,2015-62765
CMSC 11,1,2014-2015,Y,6L,2013-96548
CMSC 123,2,2010-2011,W,5L,2010-86700
CMSC 2,2,2015-2016,Z,3L,2012-37156
CMSC 165,2,2014-2015,X,5L,2018-92517
CMSC 190-2,1,2010-2011,V,4L,2010-79706
CMSC 190-2,1,2008-2009,Z,4L,2015-42021
CMSC 131,1,2009-2010,W,2L,2016-68873
CMSC 161,2,2014-2015,Y,6L,2019-42373
CMSC 128,2,2014-2015,V,5L,2015-92843
CMSC 132,1,2015-2016,Y,1L,2015-55761
CMSC 165,2,2008-2009,Y,1L,2014-98902
CMSC 11,2,2013-2014,X,5L,2011-47435
CMSC 150,2,2012-2013,X,4L,2019-87950
CMSC 125,2,2008-2009,Y,5L,2011-63927
CMSC 161,2,2015-2016,W,2L,2012-53284
CMSC 198,1,2011-2012,V,6L,2013-47261
CMSC 132,2,2010-2011,X,4L,2018-24404
CMSC 21,1,2012-2013,U,4L,2012-65423
CMSC 191,2,2013-2014,W,4L,2014-17286
CMSC 170,2,2010-2011,X,3L,2014-15586
CMSC 191,1,2014-2015,U,4L,2017-19278
CMSC 125,1,2014-2015,V,5L,2017-28344
CMSC 150,2,2008-2009,V,6L,2013-16948
CMSC 130,1,2010-2011,V,1L,2019-89070
CMSC 150,1,2015-2016,Z,1L,2014-37156
CMSC 22,1,2015-2016,U,1L,2018-77474
CMSC 190-1,2,2007-2008,X,1L,2014-66247
CMSC 130,2,2013-2014,U,1L,2010-15368
CMSC 198,2,2013-2014,X,5L,2014-49413
CMSC 165,1,2012-2013,U,2L,2016-75138
CMSC 198,2,2013-2014,X,2L,2016-42778
CMSC 125,2,2011-2012,U,3L,2017-17609
CMSC 161,2,2010-2011,U,4L,2014-30943
CMSC 190-1,2,2015-2016,Y,6L,2013-24264
CMSC 165,2,2015-2016,V,1L,2012-14428
CMSC 165,2,2006-2007,X,1L,2010-99787
CMSC 132,1,2010-2011,X,2L,2013-03746
CMSC 130,1,2014-2015,W,2L,2019-31480
CMSC 161,2,2011-2012,X,2L,2017-59747
CMSC 190-2,1,2008-2009,X,5L,2019-93488
CMSC 170,1,2012-2013,X,3L,2010-61141
CMSC 131,2,2009-2010,Z,6L,2018-54398
CMSC 191,2,2009-2010,X,4L,2014-61513
CMSC 123,1,2014-2015,X,2L,2013-81764
CMSC 123,2,2013-2014,U,6L,2016-55796
CMSC 22,1,2013-2014,Z,2L,2013-53767
CMSC 191,1,2014-2015,V,5L,2013-33649
CMSC 21,2,2009-2010,V,3L,2014-71306
CMSC 21,1,2015-2016,V,3L,2011-57838
CMSC 22,2,2014-2015,Z,6L,2011-57806
CMSC 2,1,2008-2009,Y,5L,2011-69495
CMSC 22,2,2011-2012,U,5L,2015-52536
CMSC 191,1,2009-2010,Z,3L,2010-67650
CMSC 123,1,2015-2016,W,3L,2017-39560
CMSC 170,1,2015-2016,V,1L,2014-53877
CMSC 165,2,2008-2009,W,4L,2011-07191
CMSC 190-2,2,2012-2013,U,1L,2015-81454
CMSC 190-2,2,2008-2009,V,5L,2013-42254
CMSC 128,1,2009-2010,Z,1L,2012-54727
CMSC 22,1,2008-2009,U,5L,2019-92602
CMSC 132,2,2008-2009,Z,5L,2010-96413
CMSC 198,2,2006-2007,Y,1L,2013-18252
CMSC 11,2,2006-2007,X,3L,2011-92254
CMSC 123,2,2015-2016,V,5L,2013-06662
CMSC 125,1,2011-2012,Y,3L,2017-42116
CMSC 128,2,2011-2012,Y,3L,2017-25979
CMSC 198,1,2013-2014,Z,2L,2012-89891
CMSC 191,1,2015-2016,W,4L,2013-73928
CMSC 130,1,2013-2014,Y,2L,2016-49098
CMSC 190-1,2,2014-2015,V,3L,2013-93468
CMSC 198,1,2015-2016,Y,1L,2018-10515
CMSC 150,1,2015-2016,Z,4L,2015-68693
CMSC 130,1,2013-2014,Y,6L,2015-48478
CMSC 21,2,2012-2013,Z,4L,2013-63470
CMSC 150,2,2008-2009,U,4L,2014-82532
CMSC 22,1,2011-2012,Y,2L,2014-25492
CMSC 170,1,2013-2014,Z,5L,2010-71285
CMSC 132,1,2007-2008,V,4L,2017-29417
CMSC 165,2,2006-2007,W,3L,2015-68527
CMSC 123,2,2012-2013,Y,5L,2011-15938
CMSC 198,2,2007-2008,X,6L,2016-50477
CMSC 22,1,2010-2011,Z,4L,2010-79056
CMSC 128,2,2012-2013,V,4L,2014-50001
CMSC 131,1,2009-2010,Y,3L,2015-98257
CMSC 161,2,2010-2011,X,2L,2015-60495
CMSC 128,1,2012-2013,Z,6L,2012-01550
CMSC 123,1,2007-2008,Z,4L,2016-68602
CMSC 165,2,2006-2007,V,5L,2018-16432
CMSC 191,2,2007-2008,X,3L,2017-35816
CMSC 11,1,2011-2012,Y,3L,2017-58176
CMSC 123,1,2015-2016,W,1L,2016-67527
CMSC 170,1,2012-2013,X,2L,2011-80726
CMSC 190-2,1,2008-2009,U,1L,2015-93256
CMSC 22,1,2013-2014,W,1L,2018-07077
CMSC 130,1,2007-2008,X,3L,2015-49811
CMSC 128,2,2007-2008,U,6L,2014-67448
CMSC 131,2,2009-2010,Z,6L,2017-09303
CMSC 198,2,2015-2016,Z,1L,2015-57496
CMSC 123,2,2012-2013,U,4L,2012-79449
CMSC 22,1,2006-2007,Z,5L,2017-76507
CMSC 22,2,2006-2007,X,1L,2016-72109
CMSC 21,2,2015-2016,V,1L,2011-90575
CMSC 123,2,2010-2011,V,6L,2014-94184
CMSC 190-2,1,2006-2007,Y,1L,2016-07843
CMSC 190-1,1,2013-2014,W,2L,2010-71989
CMSC 132,2,2014-2015,U,4L,2016-06272
CMSC 124,1,2012-2013,X,1L,2014-92452
CMSC 125,2,2010-2011,W,3L,2014-13258
CMSC 11,2,2012-2013,Z,3L,2017-77386
CMSC 190-2,1,2010-2011,X,4L,2014-96568
CMSC 190-1,1,2008-2009,W,2L,2012-14170
CMSC 190-2,2,2011-2012,X,4L,2011-26889
CMSC 128,1,2009-2010,U,4L,2011-11559
CMSC 11,1,2008-2009,Z,5L,2018-58599
CMSC 170,2,2014-2015,W,6L,2011-47936
CMSC 190-1,1,2008-2009,X,1L,2012-32220
CMSC 2,2,2010-2011,Z,5L,2018-89772
CMSC 132,1,2013-2014,W,1L,2019-36657
CMSC 165,1,2012-2013,U,4L,2017-90659
CMSC 161,1,2015-2016,Y,6L,2012-41153
CMSC 123,2,2009-2010,Z,2L,2017-49881
CMSC 131,1,2008-2009,Z,3L,2011-08891
CMSC 2,1,2006-2007,Y,5L,2018-35329
CMSC 190-2,1,2008-2009,V,5L,2017-71376
CMSC 191,1,2013-2014,V,5L,2013-72503
CMSC 123,1,2014-2015,V,5L,2012-51656
CMSC 124,2,2013-2014,Y,4L,2019-38666
CMSC 124,2,2010-2011,V,5L,2010-93170
CMSC 130,1,2014-2015,V,4L,2017-90498
CMSC 131,1,2014-2015,Z,1L,2010-94491
CMSC 128,1,2006-2007,Z,4L,2019-06437
CMSC 125,2,2015-2016,W,6L,2019-02964
CMSC 190-1,2,2008-2009,Z,5L,2019-61498
CMSC 123,2,2009-2010,U,5L,2019-45096
CMSC 131,1,2015-2016,W,4L,2011-20035
CMSC 150,1,2014-2015,W,6L,2014-70233
CMSC 11,1,2006-2007,V,1L,2013-67560
CMSC 128,1,2013-2014,V,5L,2010-50259
CMSC 161,2,2013-2014,U,2L,2010-67018
CMSC 124,1,2013-2014,V,4L,2019-89406
CMSC 190-2,2,2010-2011,X,2L,2016-81250
CMSC 198,1,2012-2013,W,2L,2014-56269
CMSC 11,2,2014-2015,X,5L,2013-61501
CMSC 190-1,1,2014-2015,X,3L,2016-96768
CMSC 124,1,2007-2008,Y,3L,2012-83311
CMSC 22,2,2006-2007,W,1L,2010-77219
CMSC 123,1,2010-2011,Z,3L,2016-17180
CMSC 161,1,2010-2011,U,1L,2013-12861
CMSC 123,2,2012-2013,U,1L,2015-07685
CMSC 190-2,1,2010-2011,Z,1L,2015-66258
CMSC 131,2,2006-2007,V,2L,2016-13896
CMSC 128,1,2010-2011,U,1L,2017-64445
CMSC 170,2,2014-2015,X,6L,2016-88771
CMSC 128,2,2011-2012,Z,3L,2014-09512
CMSC 123,1,2010-2011,V,1L,2013-61254
CMSC 191,2,2008-2009,X,6L,2011-09043
CMSC 22,1,2007-2008,Y,1L,2014-18555
CMSC 131,1,2011-2012,W,5L,2012-24059
CMSC 191,2,2015-2016,X,2L,2014-46710
CMSC 125,2,2008-2009,V,2L,2012-05138
CMSC 132,1,2010-2011,Z,5L,2018-73165
CMSC 132,1,2006-2007,Y,6L,2016-13940
CMSC 150,2,2011-2012,Z,3L,2016-53830
CMSC 132,1,2014-2015,Y,4L,2014-50124
CMSC 21,1,2013-2014,V,6L,2010-60042
CMSC 190-2,1,2015-2016,Z,2L,2019-77347
CMSC 161,2,2008-2009,W,5L,2016-04261
CMSC 198,1,2013-2014,Y,1L,2011-80316
CMSC 125,2,2006-2007,W,1L,2011-90803
CMSC 123,1,2010-2011,X,2L,2014-40073
CMSC 123,2,2011-2012,U,6L,2015-98695
CMSC 21,1,2007-2008,Y,5L,2014-41368
CMSC 128,2,2006-2007,X,6L,2010-84128
CMSC 22,1,2007-2008,Z,3L,2017-26152
CMSC 22,1,2010-2011,X,1L,2013-39801
CMSC 22,1,2014-2015,W,6L,2017-74702
CMSC 128,1,2013-2014,V,6L,2017-42390
CMSC 198,2,2007-2008,W,4L,2014-42709
CMSC 125,1,2011-2012,Z,3L,2013-76788
CMSC 165,1,2006-2007,V,6L,2013-14916
CMSC 150,1,2007-2008,W,2L,2018-80484
CMSC 124,2,2008-2009,V,3L,2016-39666
CMSC 190-2,1,2014-2015,U,6L,2011-51581
CMSC 191,2,2014-2015,Y,5L,2014-04635
